county,set_play,shot_outcome,shot_pressure,assist_type,build_up_passes,shot_method,distance_from_goal
Dublin,Open Play,Point,Medium,Hand Pass,16,Right Foot,36.138622
Dublin,Open Play,Short,Medium,Hand Pass,8,Left Foot,37.10795063
Kerry,Open Play,Goal,Medium,Hand Pass,4,Left Foot,14.86606875
Kerry,Open Play,Wide,Low,Kickout Won,0,Right Foot,35.60898763
Kerry,Open Play,Point,Low,Hand Pass,6,Right Foot,35.4682957
Kerry,Open Play,Point,High,Hand Pass,10,Right Foot,17.80449381
Kerry,Open Play,Short,Low,Hand Pass,2,Left Foot,29.41088234
Dublin,Free Kick from Hands,Point,Low,Free Kick Won,0,Right Foot,22.02271555
Kerry,Open Play,Point,Low,Hand Pass,4,Left Foot,28
Kerry,Open Play,Point,Medium,Hand Pass,2,Left Foot,25.61249695
Dublin,Open Play,Wide,Low,Hand Pass,9,Right Foot,41.14608122
Dublin,Open Play,Wide,Low,Hand Pass,5,Right Foot,32.55764119
Dublin,Open Play,Wide,Low,Hand Pass,7,Right Foot,45
Dublin,Open Play,Point,Low,Hand Pass,3,Right Foot,39.62322551
Dublin,Open Play,Short,Medium,Hand Pass,9,Left Foot,43.8634244
Dublin,Free Kick from Ground,Wide,Low,Free Kick Won,9,Right Foot,51.03920062
